n,pearson_r,sensor_id,variable
2034,-0.026288737407827684,openaq_11357424,temperature_2m
2034,0.05071383591553451,openaq_11357424,apparent_temperature
2034,0.04303680966687785,openaq_11357424,relative_humidity_2m
2033,-0.10829630789262884,openaq_11357424,precipitation
2034,-0.338661434978736,openaq_11357424,wind_speed_10m
2034,0.17553414798425318,openaq_11357424,surface_pressure
2034,-0.12302746183213191,openaq_11357424,cloud_cover
2033,-0.061425090500682636,openaq_11357424,shortwave_radiation
1917,-0.13657900192575181,openaq_14581375,temperature_2m
1917,-0.019879609847665063,openaq_14581375,apparent_temperature
1917,0.20121125721711264,openaq_14581375,relative_humidity_2m
1916,-0.1379287337460692,openaq_14581375,precipitation
1917,-0.31036286439527827,openaq_14581375,wind_speed_10m
1917,0.12239246624994285,openaq_14581375,surface_pressure
1917,-0.15030553805039318,openaq_14581375,cloud_cover
1916,-0.12756404728896165,openaq_14581375,shortwave_radiation
