lag_hours,n,pearson_r,sensor_id
1,2150,0.810071085512981,openaq_11357424
2,2147,0.6173788086453892,openaq_11357424
3,2145,0.46959889183623793,openaq_11357424
4,2144,0.3523759579999089,openaq_11357424
5,2143,0.26522783618295476,openaq_11357424
6,2142,0.200575264143938,openaq_11357424
7,2141,0.16628401878621982,openaq_11357424
8,2140,0.16964583363614535,openaq_11357424
9,2139,0.1895770915728418,openaq_11357424
10,2138,0.21318401093252498,openaq_11357424
11,2137,0.23110271695094003,openaq_11357424
12,2136,0.2387932953296134,openaq_11357424
13,2135,0.22137086690718227,openaq_11357424
14,2134,0.18730007891550826,openaq_11357424
15,2133,0.1373716093378101,openaq_11357424
16,2132,0.095205577334212,openaq_11357424
17,2131,0.07358469398259815,openaq_11357424
18,2130,0.08087790677495905,openaq_11357424
19,2129,0.11547201157889,openaq_11357424
20,2128,0.15741594255706834,openaq_11357424
21,2127,0.22964747170669436,openaq_11357424
22,2126,0.3114331806703836,openaq_11357424
23,2125,0.369457279590581,openaq_11357424
24,2124,0.38577567930002005,openaq_11357424
25,2123,0.3448620462135167,openaq_11357424
26,2122,0.2520570018186726,openaq_11357424
27,2121,0.14447895917708417,openaq_11357424
28,2120,0.05677651845926454,openaq_11357424
29,2119,0.0034411709848354054,openaq_11357424
30,2118,-0.026407947210414794,openaq_11357424
31,2117,-0.029419904462501905,openaq_11357424
32,2116,-0.0065406899516650885,openaq_11357424
33,2115,0.03523890442052322,openaq_11357424
34,2114,0.08542823714522335,openaq_11357424
35,2113,0.12264465615180394,openaq_11357424
36,2112,0.13391832486237312,openaq_11357424
37,2111,0.11615874549550124,openaq_11357424
38,2110,0.07424941709886325,openaq_11357424
39,2109,0.02331472950335795,openaq_11357424
40,2108,-0.02326295664283973,openaq_11357424
41,2107,-0.057565646676284984,openaq_11357424
42,2106,-0.06004882249423626,openaq_11357424
43,2105,-0.0321711587642883,openaq_11357424
44,2104,0.031226891984128282,openaq_11357424
45,2103,0.1051258620296074,openaq_11357424
46,2102,0.16697715869122762,openaq_11357424
47,2101,0.2181967820158156,openaq_11357424
48,2100,0.23802655630685038,openaq_11357424
72,2077,0.2031209998191384,openaq_11357424
168,1980,0.10592020994181994,openaq_11357424
1,2033,0.8694115790245657,openaq_14581375
2,2030,0.7266844313028472,openaq_14581375
3,2027,0.6064725403858092,openaq_14581375
4,2025,0.5091690542291866,openaq_14581375
5,2023,0.4352831731817969,openaq_14581375
6,2021,0.37869903156770657,openaq_14581375
7,2019,0.32965767880431557,openaq_14581375
8,2017,0.2865032906972393,openaq_14581375
9,2015,0.2594538644441978,openaq_14581375
10,2013,0.23657153932677524,openaq_14581375
11,2011,0.2155206007480934,openaq_14581375
12,2009,0.20454371183701103,openaq_14581375
13,2007,0.20198929294158682,openaq_14581375
14,2005,0.20197054938682488,openaq_14581375
15,2003,0.20803382582614457,openaq_14581375
16,2001,0.21227497034329026,openaq_14581375
17,1999,0.22122503808913105,openaq_14581375
18,1997,0.23279420810765006,openaq_14581375
19,1995,0.2421585572531604,openaq_14581375
20,1993,0.25199697455571707,openaq_14581375
21,1991,0.27397711672649283,openaq_14581375
22,1989,0.29174672879600005,openaq_14581375
23,1987,0.2983235239596513,openaq_14581375
24,1985,0.30282733983494436,openaq_14581375
25,1983,0.2849542371879775,openaq_14581375
26,1981,0.2570266766852636,openaq_14581375
27,1979,0.24161866000681917,openaq_14581375
28,1977,0.22643035489141813,openaq_14581375
29,1975,0.19930486938495767,openaq_14581375
30,1973,0.16623539083561512,openaq_14581375
31,1971,0.12383981931261293,openaq_14581375
32,1969,0.07990279863906148,openaq_14581375
33,1967,0.05018892872146161,openaq_14581375
34,1965,0.03195867298502425,openaq_14581375
35,1963,0.021280307588809666,openaq_14581375
36,1961,0.01841186304917111,openaq_14581375
37,1959,0.019036423510731756,openaq_14581375
38,1957,0.02011824289992128,openaq_14581375
39,1955,0.02318730650223499,openaq_14581375
40,1953,0.031011854013883046,openaq_14581375
41,1951,0.03610649583236594,openaq_14581375
42,1949,0.04036679239366219,openaq_14581375
43,1947,0.03899472422820282,openaq_14581375
44,1945,0.039562613268753634,openaq_14581375
45,1943,0.035751363517525725,openaq_14581375
46,1941,0.03297493029194244,openaq_14581375
47,1939,0.0251541299201874,openaq_14581375
48,1937,0.017468548564670786,openaq_14581375
72,1890,-0.05019380097784794,openaq_14581375
168,1746,-0.06079879779235587,openaq_14581375
